#cbsp,cbsp
1,0.018530466309359155
2,0.019028858052498633
3,0.023482854775072916
4,0.024018410937055815
5,0.02053706165315042
6,0.022215830121754734
7,0.02092065638378231
8,0.024646451772374043
9,0.02151160855935746
10,0.021359947236578285
11,0.023906383340920934
12,0.02281397575301169
13,0.02233721212290341
14,0.018180753102780483
15,0.018020715823385346
16,0.02052924748513692
17,0.024254414475697584
18,0.020192011108754584
19,0.023208936546257178
20,0.021627325294844995
21,0.02196695229206794
22,0.020362269280412584
23,0.019075007062781396
24,0.02147190968720841
25,0.019339579471998318
26,0.02187735341865922
27,0.022825087089325426
28,0.021741627860206583
29,0.021166677326428962
30,0.024626128567355576
31,0.024367838674560837
32,0.024085858139161434
33,0.02056311510168759
34,0.02263362661418122
35,0.022836256617386214
36,0.02200259018309526
37,0.022553010136280024
38,0.019336588268061217
39,0.02035641167376041
40,0.023559643770939706
41,0.02380399691517746
42,0.02140039491620013
43,0.02380906911575516
44,0.020807126048968366
45,0.021282051498936055
46,0.023517850726620698
47,0.023823445413561437
48,0.02119147471083538
49,0.02221594101551888
50,0.02299515494824193
51,0.024012514169910317
52,0.022826161624328364
53,0.02302618910081493
54,0.021240047341654775
55,0.023342926232881877
56,0.020157454340491685
57,0.018611061560109148
58,0.018124750650292534
59,0.022359039362831082
60,0.024450167967138402
61,0.024921054395114915
62,0.02406857188630808
63,0.024801349509749358
64,0.025127902387509154
65,0.02445588588911944
66,0.023619912156769462
67,0.02199861630664132
68,0.023220869155225383
69,0.023470732585332943
70,0.02438732120963843
71,0.022143389772057685
72,0.022399539012487747
73,0.020349644735033548
74,0.02230974214065916
75,0.022111202397435067
76,0.024759365054709045
77,0.023293658289609057
78,0.02393667600581624
79,0.023041944068068504
80,0.02145314558270521
81,0.022620325949348357
82,0.025046093161094754
83,0.023247571862949262
84,0.02346290707173375
85,0.02412753296998452
86,0.027103585452035343
87,0.023620393428410085
88,0.023584066751625266
89,0.015149959356092216
90,0.02361893241212259
91,0.021604565247976392
92,0.02113812272925503
93,0.022984752160906674
94,0.0235601221146913
95,0.021528368524290856
96,0.023252472050137113
97,0.023961091300808913
98,0.022245302611864914
99,0.022553776511025303
100,0.02508019940053365
101,0.02235894933025725
102,0.024280280539347356
